id,description,code,code,unit_size,category,link,rank,price,cost,created_at,updated_at
0054529a-05e7-47cc-88cd-48a9ba7a9014,Señal fotoluminiscente soporte: pvc celtex 3 mm pictograma: vinil rotulado + cinta de doble en 4 puntos para su instalación,FTCD,FTCD,20x30cm,fotoluminiscente,https://tellsenales.com/seguridad/senal-fotoluminiscente-con-base-pvc-celtex-3mm/,0,7.5,3,2023-08-03 03:38:19.427,2024-08-24 21:32:54.098
0092b79f-95cf-476f-81f0-b1b18992c78f,"Rollo cinta reflectiva 4""x45.7mts grado prismático  (HIP) color Amarillo ambar - 3M - Cortado de rollo de 48""",CR4-3M-AM,CR4-3M-AM,und,cintas seguridad,,0,920,886,2024-03-06 15:24:08.975,2024-03-06 15:24:08.975
0351a31f-96ff-4209-820f-1929f3f702c9,"Contador de días sin accidentes fabricando con soporte compuesto de aluminio 4mm, impresión vinil laminado ( protección UV) y perfiles de aluminio para numeración.",CON-PAL120X60,CON-PAL120X60,120x60cm,seguridad,https://tellsenales.com/seguridad/letrero-informativo-contador-de-dias-sin-accidentes-en-acrilico/,0,280,160,2024-09-06 19:49:16.818,2024-09-06 19:49:42.643
03b96778-b925-4506-8b34-cba5d39e0178,"Cinta Peligro 5"" x 200 M. - color amarillo",CPAM200,CPAM200,rollo,cintas seguridad,https://tellsenales.com/seguridad/cinta-peligro-amarillo-o-rojo/,0,35,25,2023-08-03 03:38:19.427,2024-09-19 20:29:14.867
03f21572-c45f-412a-88e8-df33ac151ea9,"Señal tijeral doble cara - estructura de madera con liston 1 x2"" + banner 12 oz templado incluye ( 2 visagras )",TJ-BN-1X2,TJ-BN-1X2,20x30cm,obras,,0,80,80,2023-08-03 03:38:19.427,2023-08-03 03:38:19.427
041c75c9-9918-455b-bc71-b3e665d09261,"Rollo cinta reflectiva tipo i - grado ingenieria 2"" x45.7 mts 3M - color amarillo",CGI-3M-AM,CGI-3M-AM,rollo,cintas seguridad,https://tellsenales.com/seguridad/cinta-reflectiva-grado-ingenieria-2-x45-7mts-3m/,0,280,200,2023-08-03 03:38:19.427,2024-09-19 20:29:51.644
0435a0f4-aeec-425a-b81c-141e5687f4f5,Señal vinil arclad laminado (proteccion UV) c/ soporte pvc celtex espesor = 3 mm - Doble cara,PVC-DC,PVC-DC,20x30cm,seguridad,,0,5.5,3,2023-08-03 03:38:19.427,2023-08-03 03:38:19.427
04473bd8-3b1b-4a47-975c-1ec5196e7e8d,"Panel compuesto de aluminio - substrato de aluminio (PAL ) 4mm ",PAL60X90,PAL60X90,60x90cm,viales,https://tellsenales.com/seguridad/panel-aluminio-compuesto-sustrato-de-aluminio-4mm/,0,80,54,2023-08-03 03:38:19.427,2024-08-24 22:42:07.861
04d817ce-e769-44a9-944c-d585ac3179a7,"Señal Vertical Preventiva  soporte: fibra de vidrio 4 mm con refuerzo platina 1 1/2"" Lámina: Reflectiva tipo XI Diamond Grade - 3M , Pictograma: Reflectivo grado ingeniería",FDP80,FDP80,80x80cm,viales,https://tellsenales.com/seguridad/senal-preventiva-en-fibra-de-vidrio-4mm-con-lamina-reflectiva-hip/,0,460,400,2024-01-14 18:28:07.413,2025-01-02 02:32:19.902
05a90ff1-f608-40b9-9a01-62229cf9b2b8,"Cinta reflectiva 4"" x 45.7M. marca Reflexlite, color amarillo ambar",CR4-REF-AM,CR4-REF-AM,rollo,cintas seguridad,https://tellsenales.com/seguridad/cinta-reflectiva-4-pulgadas-10-cm-x-45-7mts-reflexlite/,0,320,180,2023-08-03 03:38:19.427,2024-09-19 20:27:55.8
